$GPGSV,4,1,14,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7C
$GPGSV,4,2,14,09,13,231,16,11,20,184,,12,05,352,32,14,00,053,18*70
$GPGSV,4,3,14,17,25,275,,19,04,211,,23,51,222,,25,09,028,29*7C
$GPGSV,4,4,14,31,39,069,32,32,51,099,24*79
$GPGSV,4,1,14,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7C
$GPGSV,4,2,14,09,13,231,15,11,20,184,,12,05,352,32,14,00,053,18*73
$GPGSV,4,3,14,17,25,275,13,19,04,211,,23,51,222,,25,09,028,29*7E
$GPGSV,4,4,14,31,39,069,32,32,51,099,24*79
$GPGSV,4,1,14,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7C
$GPGSV,4,2,14,09,13,231,15,11,20,184,,12,05,352,28,14,00,053,19*79
$GPGSV,4,3,14,17,25,275,10,19,04,211,,23,51,222,,25,09,028,30*75
$GPGSV,4,4,14,31,39,069,33,32,51,099,24*78
$GPGSV,4,1,14,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7C
$GPGSV,4,2,14,09,13,231,16,11,20,184,,12,04,352,30,14,00,053,21*79
$GPGSV,4,3,14,17,25,275,09,19,04,211,,23,51,222,,25,09,028,30*7D
$GPGSV,4,4,14,31,39,069,33,32,51,099,25*79
$GPGSV,4,1,14,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7C
$GPGSV,4,2,14,09,13,231,16,11,20,184,,12,04,352,30,14,00,053,22*7A
$GPGSV,4,3,14,17,25,275,08,19,04,211,,23,51,222,,25,09,028,29*74
$GPGSV,4,4,14,31,39,069,33,32,51,099,25*79
$GPGSV,4,1,14,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7C
$GPGSV,4,2,14,09,13,231,17,11,20,184,,12,04,352,31,14,-1,053,21*65
$GPGSV,4,3,14,17,25,275,08,19,04,211,,23,51,222,,25,09,028,29*74
$GPGSV,4,4,14,31,39,069,33,32,51,099,25*79
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,21,11,20,184,,12,04,352,32,17,25,275,08*71
$GPGSV,4,3,13,19,04,211,,23,51,222,,25,09,028,28,31,39,069,33*7C
$GPGSV,4,4,13,32,51,099,25*49
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,33,17,25,275,08*73
$GPGSV,4,3,13,19,04,211,,23,51,222,,25,09,028,27,31,39,069,33*73
$GPGSV,4,4,13,32,51,099,25*49
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,33,17,25,275,08*73
$GPGSV,4,3,13,19,04,211,,23,51,222,,25,09,028,26,31,39,069,33*72
$GPGSV,4,4,13,32,51,099,25*49
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,31,17,25,275,08*71
$GPGSV,4,3,13,19,04,211,,23,51,222,,25,09,028,26,31,39,069,34*75
$GPGSV,4,4,13,32,51,099,24*48
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,29,17,25,275,08*78
$GPGSV,4,3,13,19,03,211,,23,51,222,,25,09,028,24,31,39,069,34*70
$GPGSV,4,4,13,32,51,099,24*48
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,29,17,25,275,07*77
$GPGSV,4,3,13,19,03,211,,23,51,222,,25,09,028,23,31,39,069,34*77
$GPGSV,4,4,13,32,51,099,23*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,29,17,25,275,07*77
$GPGSV,4,3,13,19,03,211,,23,51,222,,25,09,028,24,31,39,069,34*70
$GPGSV,4,4,13,32,51,099,24*48
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,28,17,25,275,*71
$GPGSV,4,3,13,19,03,211,,23,51,222,,25,09,028,24,31,39,069,34*70
$GPGSV,4,4,13,32,51,099,24*48
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,33,17,25,275,*7B
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,028,25,31,39,069,33*75
$GPGSV,4,4,13,32,51,099,24*48
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,33,17,25,275,*7B
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,028,25,31,39,069,33*75
$GPGSV,4,4,13,32,51,099,23*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,32,17,25,275,17*7C
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,25,31,39,069,34*7D
$GPGSV,4,4,13,32,51,099,23*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,33,17,25,275,*7B
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,33*78
$GPGSV,4,4,13,32,51,099,23*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,32,17,25,275,17*7C
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,33*78
$GPGSV,4,4,13,32,51,099,23*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,19*70
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,25,31,39,069,32*7B
$GPGSV,4,4,13,32,51,099,23*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,31,17,25,275,18*70
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,33*79
$GPGSV,4,4,13,32,51,099,22*4E
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,17*7D
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,16*7F
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,33*79
$GPGSV,4,4,13,32,51,099,22*4E
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,16*7C
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,15*7C
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,32*79
$GPGSV,4,4,13,32,51,099,22*4E
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,13*79
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,14*7D
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,32*78
$GPGSV,4,4,13,32,50,099,21*4C
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,14*7E
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,29,17,25,275,12*73
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,31*7A
$GPGSV,4,4,13,32,50,099,21*4C
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,13*79
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,29,17,25,275,11*70
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,31*7A
$GPGSV,4,4,13,32,50,099,22*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,13*79
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,11*78
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,31*7A
$GPGSV,4,4,13,32,50,099,21*4C
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,13*79
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,12*7B
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,31*7A
$GPGSV,4,4,13,32,50,099,22*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,14*7E
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,14*7D
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,27,31,39,069,31*7A
$GPGSV,4,4,13,32,50,099,22*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,15*7F
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,15*7C
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,31*7B
$GPGSV,4,4,13,32,50,099,21*4C
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,13*79
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,12*7B
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,32*78
$GPGSV,4,4,13,32,50,099,22*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,11*7B
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,*78
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,31*7B
$GPGSV,4,4,13,32,50,099,22*4F
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,14*7E
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,16*7F
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,32*78
$GPGSV,4,4,13,32,50,099,23*4E
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,15*7F
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,29,17,25,275,16*77
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,32*78
$GPGSV,4,4,13,32,50,099,23*4E
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,16*7C
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,*78
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,32*78
$GPGSV,4,4,13,32,50,099,23*4E
$GPGSV,4,1,13,01,43,176,,03,88,287,,04,18,161,,06,14,317,16*7C
$GPGSV,4,2,13,09,13,231,,11,20,184,,12,04,352,30,17,25,275,18*71
$GPGSV,4,3,13,19,03,211,,23,52,222,,25,09,027,26,31,39,069,32*78
$GPGSV,4,4,13,32,50,099,23*4E
